iter	Passed	Remaining
0	58	58499
1	58	29386
2	59	19666
3	59	14807
4	59	11890
5	60	9946
6	60	8559
7	60	7511
8	60	6696
9	61	6045
10	61	5516
11	61	5073
12	61	4701
13	62	4383
14	62	4108
15	62	3864
16	63	3648
17	63	3456
18	63	3285
19	63	3132
20	64	2993
21	64	2865
22	64	2748
23	64	2642
24	65	2545
25	65	2457
26	65	2374
27	66	2296
28	66	2223
29	66	2156
30	66	2094
31	67	2035
32	67	1980
33	67	1930
34	68	1880
35	68	1832
36	68	1788
37	68	1746
38	69	1705
39	69	1667
40	69	1631
41	70	1598
42	70	1565
43	70	1533
44	70	1503
45	71	1474
46	71	1447
47	71	1421
48	71	1397
49	72	1373
50	72	1351
51	72	1329
52	73	1308
53	73	1287
54	73	1269
55	74	1253
56	74	1236
57	75	1220
58	75	1206
59	75	1188
60	76	1171
61	76	1155
62	76	1140
63	76	1125
64	77	1110
65	77	1096
66	77	1083
67	77	1067
68	78	1054
69	78	1041
70	78	1029
71	79	1019
72	79	1009
73	79	1000
74	80	990
75	80	981
76	81	971
77	81	961
78	81	952
79	81	941
80	82	932
81	82	923
82	82	914
83	83	905
84	83	895
85	83	887
86	83	877
87	83	869
88	84	861
89	84	853
90	84	847
91	85	841
92	85	835
93	86	830
94	86	823
95	86	817
96	87	810
97	87	804
98	87	797
99	87	791
100	88	786
101	88	779
102	88	774
103	89	769
104	89	765
105	90	759
106	90	753
107	90	748
108	90	742
109	91	738
110	91	732
111	91	727
112	92	722
113	92	717
114	92	712
115	92	706
116	93	702
117	93	697
118	93	692
119	93	687
120	94	683
121	94	678
122	94	673
123	94	668
124	94	664
125	95	660
126	95	657
127	95	652
128	95	647
129	96	644
130	96	640
131	96	636
132	97	632
133	97	628
134	97	625
135	97	621
136	98	618
137	98	613
138	98	610
139	98	607
140	99	604
141	99	600
142	99	597
143	100	594
144	100	591
145	100	588
146	100	585
147	101	582
148	101	579
149	101	576
150	101	573
151	102	570
152	102	567
153	102	564
154	103	561
155	103	558
156	103	556
157	103	553
158	104	550
159	104	548
160	104	545
161	104	542
162	105	540
163	105	537
164	105	535
165	106	533
166	106	530
167	106	528
168	106	525
169	107	523
170	107	520
171	107	518
172	107	516
173	108	514
174	108	511
175	108	509
176	109	507
177	109	504
178	109	502
179	109	500
180	110	497
181	110	495
182	110	493
183	110	491
184	111	489
185	111	487
186	111	485
187	111	483
188	112	481
189	112	479
190	112	477
191	113	475
192	113	473
193	113	472
194	113	470
195	114	468
196	114	466
197	114	464
198	115	463
199	115	461
200	115	459
201	115	457
202	116	456
203	116	454
204	116	452
205	116	450
206	117	448
207	117	446
208	117	445
209	117	443
210	118	442
211	118	440
212	118	439
213	119	437
214	119	436
215	119	434
216	119	432
217	120	431
218	120	429
219	120	428
220	121	426
221	121	425
222	121	423
223	121	422
224	122	420
225	122	419
226	122	417
227	123	416
228	123	414
229	123	413
230	123	412
231	124	410
232	124	409
233	124	407
234	124	406
235	125	405
236	125	404
237	125	403
238	126	402
239	126	401
240	127	400
241	127	398
242	127	397
243	127	396
244	128	395
245	128	394
246	129	393
247	129	392
248	129	391
249	130	390
250	130	389
251	130	388
252	131	387
253	131	386
254	131	385
255	132	383
256	132	382
257	132	381
258	132	380
259	133	378
260	133	377
261	133	376
262	133	375
263	134	374
264	134	373
265	134	372
266	135	370
267	135	369
268	135	368
269	136	367
270	136	366
271	136	365
272	136	364
273	137	363
274	137	362
275	137	361
276	138	360
277	138	359
278	138	358
279	139	357
280	139	356
281	139	355
